u      12L3Euablce	Bj     T			U			 u                              O	
456	22011-00001	R14	5820.059406	1.2143E-26	5820.06010		 -0.7									
456	22011-00001	R15	5820.704306	1.3852E-26	5820.70520		 -0.9									
456	22011-00001	R16	5821.337314	1.1529E-26	5821.33800		 -0.7									
456	22011-00001	R17	5821.958213	1.1885E-26	5821.95850		 -0.3									
456	22011-00001	R18	5822.566174	1.1602E-26	5822.56660		 -0.4									
456	22011-00001	R19	5823.161653	1.1236E-26	5823.16220		 -0.5									
456	22011-00001	R20	5823.744638	1.0935E-26	5823.74540		 -0.8									
456	22011-00001	R21	5824.314907	1.1610E-26	5824.31610		 -1.2									
456	22011-00001	R22	5824.875588	3.2421E-26	5824.87420		  1.4		 blended							
456	22011-00001	R23	5825.418602	1.0021E-26	5825.41980		 -1.2													
456	22011-00001	R24	5825.951837	9.2409E-27	5825.95270		 -0.9													
456	22011-00001	R25	5826.472705	8.6755E-27	5826.47290		 -0.2													
456	22011-00001	R26	5826.978881	8.1351E-27	5826.98030		 -1.4													
456	22011-00001	R27	5827.473753	7.6092E-27	5827.47490		 -1.1													
456	22011-00001	R28	5827.955836	7.8696E-27	5827.95670		 -0.9													
456	22011-00001	R29	5828.425695	8.8535E-27	5828.42550		  0.2													
456	22011-00001	R30	5828.880328	6.1107E-27	5828.88140		 -1.1													
456	22011-00001	R31	5829.323087	5.4558E-27	5829.32430		 -1.2													
456	22011-00001	R32	5829.752249	5.2280E-27	5829.75410		 -1.9													
456	22011-00001	R33	5830.169339	4.2452E-27	5830.17080		 -1.5													
456	22011-00001	R34	5830.572533	4.1540E-27	5830.57430		 -1.8													
456	22011-00001	R35	5830.962875	4.1274E-27	5830.96450		 -1.6													
456	22011-00001	R36	5831.340240	3.2134E-27	5831.34150		 -1.3													
456	22011-00001	R37	5831.702976	2.7852E-27	5831.70500		 -2.0													
456	22011-00001	R39	5832.389694	2.4730E-27	5832.39190		 -2.2													
456	22011-00001	R40	5832.713100	1.9487E-27	5832.71510		 -2.0													
456	22011-00001	R41	5833.022103	1.5697E-27	5833.02470		 -2.6													
456	22011-00001	R42	5833.318979	1.4188E-27	5833.32070		 -1.7													
456	22011-00001	R43	5833.601005	1.2119E-27	5833.60300		 -2.0													
456	22011-00001	R44	5833.869881	1.2457E-27	5833.87160		 -1.7													
456	22011-00001	R45	5834.124037	1.1607E-27	5834.12630		 -2.3													
456	22011-00001	R46	5834.365163	8.4041E-28	5834.36730		 -2.1													
456	22011-00001	R47	5834.592860	6.1159E-28	5834.59440		 -1.5													
456	22011-00001	R48	5834.805606	4.8485E-28	5834.80750		 -1.9													
456	22011-00001	R49	5835.005148	4.4343E-28	5835.00660		 -1.5													
456	22011-00001	R54	5835.789114	1.6874E-28	5835.79140		 -2.3		
456	30011-00001	P09	5906.533594	5.1652E-26	5906.53470		 -1.1														
456	30011-00001	P10	5905.536688	5.3186E-26	5905.53830		 -1.6														
456	30011-00001	P12	5903.491876	6.8901E-26	5903.49290		 -1.0														
456	30011-00001	P13	5902.442382	6.1622E-26	5902.44390		 -1.5														
456	30011-00001	P14	5901.375663	6.5153E-26	5901.37730		 -1.6														
456	30011-00001	P15	5900.291923	6.6184E-26	5900.29320		 -1.3														
456	30011-00001	P16	5899.188426	8.1480E-26	5899.19150		 -3.1		 blended						
456	30011-00001	P17	5898.070947	6.4701E-26	5898.07230		 -1.4									
456	30011-00001	P18	5896.934176	6.1671E-26	5896.93560		 -1.4									
456	30011-00001	P19	5895.779998	6.0642E-26	5895.78140		 -1.4									
456	30011-00001	P20	5894.606477	1.1048E-25	5894.60970		 -3.2		 blended						
456	30011-00001	P21	5893.419308	5.5102E-26	5893.42060		 -1.3									
456	30011-00001	P22	5892.213181	6.2386E-26	5892.21390		 -0.7									
456	30011-00001	P23	5890.989115	5.5517E-26	5890.98980		 -0.7									
456	30011-00001	P25	5888.488670	6.2548E-26	5888.48920		 -0.5		 blended						
456	30011-00001	P26	5887.212595	4.4181E-26	5887.21280		 -0.2									
456	30011-00001	P27	5885.918054	4.0113E-26	5885.91900		 -0.9									
456	30011-00001	P28	5884.606709	3.6856E-26	5884.60770		 -1.0									
456	30011-00001	P30	5881.931522	3.2138E-26	5881.93310		 -1.6									
456	30011-00001	P31	5880.567672	4.5614E-26	5880.56970		 -2.0		 blended						
456	30011-00001	P33	5877.789621	2.3967E-26	5877.79090		 -1.3												
456	30011-00001	P34	5876.374415	2.0693E-26	5876.37560		 -1.2													
456	30011-00001	P36	5873.491785	1.6811E-26	5873.49300		 -1.2													
456	30011-00001	P37	5872.024499	1.4106E-26	5872.02580		 -1.3													
456	30011-00001	P38	5870.539993	1.6875E-26	5870.54130		 -1.3													
456	30011-00001	P40	5867.519646	1.0836E-26	5867.52070		 -1.1													
456	30011-00001	P41	5865.983088	8.6158E-27	5865.98470		 -1.6													
456	30011-00001	P42	5864.430275	6.5571E-27	5864.43140		 -1.1													
456	30011-00001	P43	5862.860359	5.9959E-27	5862.86100		 -0.6													
456	30011-00001	P44	5861.271707	5.4434E-27	5861.27340		 -1.7													
456	30011-00001	P45	5859.668208	3.9629E-27	5859.66880		 -0.6													
456	30011-00001	P46	5858.046408	4.4368E-27	5858.04710		 -0.7													
456	30011-00001	P64	5825.969519	9.3618E-29	5825.96700		  2.5													
456	30011-00001	P61	5831.687711	2.7077E-28	5831.68990		 -2.2		 blended						
456	30011-00001	P59	5835.422146	3.0689E-28	5835.42240		 -0.3										
456	30011-00001	P58	5837.263059	6.5976E-28	5837.26360		 -0.5										
456	30011-00001	P57	5839.086611	4.9784E-28	5839.08820		 -1.6										
456	30011-00001	P56	5840.894563	6.8265E-28	5840.89610		 -1.5										
456	30011-00001	P55	5842.683917	1.2953E-27	5842.68710		 -3.2		 blended						
456	30011-00001	P54	5844.459950	7.5585E-28	5844.46140		 -1.4											
456	30011-00001	P53	5846.217230	9.6603E-28	5846.21890		 -1.7														
456	31111-01101	P09	5907.409510	3.9914E-27	5907.40830		  1.2													
456	31111-01101	P10	5906.413227	2.6956E-27	5906.41410		 -0.9													
456	31111-01101	P11	5905.401954	3.0691E-27	5905.40280		 -0.8													
456	31111-01101	P13	5903.327603	4.6318E-27	5903.32810		 -0.5													
456	31111-01101	P14	5902.264427	5.3023E-27	5902.26490		 -0.5													
456	31111-01101	P15	5901.184180	3.7496E-27	5901.18440		 -0.2													
456	31111-01101	P16	5900.086442	3.2276E-27	5900.08660		 -0.2													
456	31111-01101	P19	5896.689877	3.1459E-27	5896.68990		 -0.0													
456	31111-01101	P20	5895.523223	2.9354E-27	5895.52330		 -0.1													
