12L3Euablce	Bj	T
0114e-0110e	P03	8481.96 
0114e-0110e	P04	8481.04 
0114e-0110e	P05	8480.10 
0114e-0110e	P06	8479.13 
0114e-0110e	P07	8478.14 
0114e-0110e	P08	8477.11 
0114e-0110e	P09	8476.07 
0114e-0110e	P11	8473.89 
0114e-0110e	P12	8472.76 
0114e-0110e	P13	8471.61 
0114e-0110e	P14	8470.43 
0114e-0110e	P15	8469.22 
0114e-0110e	P16	8467.99 
0114e-0110e	P17	8466.73 
0114e-0110e	P18	8465.44 
0114e-0110e	P19	8464.13 
0114e-0110e	P20	8462.79 
0114e-0110e	P24	8457.17 
0114e-0110e	P25	8455.70 
0114e-0110e	P26	8454.21 
0114e-0110e	P27	8452.69 
0114e-0110e	P29	8449.56 
0114e-0110e	P30	8447.96 
0114e-0110e	P32	8444.68 
0114e-0110e	P33	8443.00 
0114e-0110e	P35	8439.57 
0114e-0110e	P36	8437.81 
0114e-0110e	P37	8436.02 
0114e-0110e	P38	8434.21 
0114e-0110e	P39	8432.37 
0114e-0110e	P41	8428.63 
0114e-0110e	P42	8426.71 
0114e-0110e	P43	8424.77 
0114e-0110e	P44	8422.80 
0114e-0110e	P45	8420.81 
0114e-0110e	P47	8416.74 
0114e-0110e	P50	8410.45 
0114e-0110e	P51	8408.30 
0114e-0110e	R01	8486.16 
0114e-0110e	R02	8486.92 
0114e-0110e	R03	8487.65 
0114e-0110e	R05	8489.04 
0114e-0110e	R06	8489.69 
0114e-0110e	R07	8490.32 
0114e-0110e	R10	8492.04 
0114e-0110e	R11	8492.56 
0114e-0110e	R13	8493.53 
0114e-0110e	R14	8493.97 
0114e-0110e	R15	8494.38 
0114e-0110e	R16	8494.77 
0114e-0110e	R17	8495.14 
0114e-0110e	R18	8495.47 
0114e-0110e	R19	8495.78 
0114e-0110e	R20	8496.06 
0114e-0110e	R21	8496.32 
0114e-0110e	R24	8496.94 
0114e-0110e	R25	8497.09 
0114e-0110e	R26	8497.21 
0114e-0110e	R27	8497.31 
0114e-0110e	R28	8497.38 
0114e-0110e	R32	8497.40 
0114e-0110e	R33	8497.34 
0114e-0110e	R34	8497.26 
0114e-0110e	R35	8497.14 
0114e-0110e	R36	8497.00 
0114e-0110e	R37	8496.84 
0114e-0110e	R38	8496.64 
0114e-0110e	R39	8496.43 
0114e-0110e	R40	8496.18 
0114e-0110e	R42	8495.61 
0114e-0110e	R44	8494.93 
0114e-0110e	R45	8494.55 
0114e-0110e	R46	8494.15 
0114e-0110e	R48	8493.26 
0114e-0110e	R49	8492.78 
0114e-0110f	Q03	8484.39 
0114e-0110f	Q04	8484.28 
0114e-0110f	Q06	8483.97 
0114e-0110f	Q09	8483.30 
0114f-0110e	Q07	8483.87 
0114f-0110e	Q08	8483.66 
0114f-0110e	Q17	8480.75 
0114f-0110f	P02	8482.85 
0114f-0110f	P04	8481.04 
0114f-0110f	P06	8479.12 
0114f-0110f	P07	8478.12 
0114f-0110f	P08	8477.10 
0114f-0110f	P09	8476.05 
0114f-0110f	P11	8473.86 
0114f-0110f	P12	8472.73 
0114f-0110f	P13	8471.58 
0114f-0110f	P14	8470.39 
0114f-0110f	P15	8469.18 
0114f-0110f	P16	8467.94 
0114f-0110f	P17	8466.68 
0114f-0110f	P18	8465.39 
0114f-0110f	P19	8464.08 
0114f-0110f	P20	8462.74 
0114f-0110f	P21	8461.37 
0114f-0110f	P22	8459.97 
0114f-0110f	P23	8458.55 
0114f-0110f	P24	8457.11 
0114f-0110f	P25	8455.63 
0114f-0110f	P26	8454.13 
0114f-0110f	P27	8452.60 
0114f-0110f	P29	8449.47 
0114f-0110f	P30	8447.87 
0114f-0110f	P31	8446.23 
0114f-0110f	P32	8444.58 
0114f-0110f	P33	8442.89 
0114f-0110f	P35	8439.44 
0114f-0110f	P36	8437.68 
0114f-0110f	P37	8435.89 
0114f-0110f	P38	8434.07 
0114f-0110f	P39	8432.23 
0114f-0110f	P40	8430.36 
0114f-0110f	P41	8428.47 
0114f-0110f	P42	8426.55 
0114f-0110f	P43	8424.60 
0114f-0110f	P44	8422.63 
0114f-0110f	P46	8418.60 
0114f-0110f	P47	8416.55 
0114f-0110f	P49	8412.36 
0114f-0110f	P51	8408.08 
0114f-0110f	R01	8486.16 
0114f-0110f	R02	8486.92 
0114f-0110f	R03	8487.65 
0114f-0110f	R05	8489.04 
0114f-0110f	R06	8489.69 
0114f-0110f	R07	8490.32 
0114f-0110f	R08	8490.92 
0114f-0110f	R09	8491.49 
0114f-0110f	R10	8492.05 
0114f-0110f	R14	8493.98 
0114f-0110f	R15	8494.39 
0114f-0110f	R20	8496.07 
0114f-0110f	R21	8496.33 
0114f-0110f	R22	8496.56 
0114f-0110f	R23	8496.76 
0114f-0110f	R24	8496.94 
0114f-0110f	R29	8497.43 
0114f-0110f	R33	8497.33 
0114f-0110f	R35	8497.13 
0114f-0110f	R36	8496.99 
0114f-0110f	R37	8496.82 
0114f-0110f	R38	8496.62 
0114f-0110f	R39	8496.40 
0114f-0110f	R41	8495.88 
0114f-0110f	R42	8495.57 
0114f-0110f	R43	8495.25 
0114f-0110f	R44	8494.89 
0114f-0110f	R45	8494.51 
0114f-0110f	R46	8494.10 
0114f-0110f	R48	8493.20 
0114f-0110f	R49	8492.71 
0204e-0200e	P04	8428.88 
0204e-0200e	P05	8427.93 
0204e-0200e	P06	8426.96 
0204e-0200e	P07	8425.97 
0204e-0200e	P08	8424.95 
0204e-0200e	P10	8422.82 
0204e-0200e	P13	8419.44 
0204e-0200e	P14	8418.27 
0204e-0200e	P16	8415.83 
0204e-0200e	P18	8413.29 
0204e-0200e	P19	8411.98 
0204e-0200e	P20	8410.65 
0204e-0200e	P22	8407.90 
0204e-0200e	P23	8406.49 
0204e-0200e	P24	8405.05 
0204e-0200e	P26	8402.09 
0204e-0200e	P27	8400.58 
0204e-0200e	P28	8399.04 
0204e-0200e	P30	8395.87 
0204e-0200e	P31	8394.25 
0204e-0200e	R04	8436.20 
0204e-0200e	R07	8438.17 
0204e-0200e	R09	8439.36 
0204e-0200e	R10	8439.91 
0204e-0200e	R11	8440.44 
0204e-0200e	R12	8440.94 
0224e-0220e	P07	8424.58 
0224e-0220e	P10	8421.43 
0224e-0220e	P12	8419.21 
0224e-0220e	P13	8418.05 
0224e-0220e	P16	8414.43 
0224e-0220e	P18	8411.90 
0224e-0220e	P19	8410.58 
0224e-0220e	P21	8407.89 
0224e-0220e	P22	8406.50 
0224e-0220e	P23	8405.09 
0224e-0220e	P26	8400.69 
0224e-0220e	P27	8399.17 
0224e-0220e	P30	8394.46 
0224e-0220e	P41	8375.20 
0224e-0220e	R03	8434.11 
0224e-0220e	R08	8437.39 
0224e-0220e	R10	8438.53 
0224e-0220e	R14	8440.47 
0224e-0220e	R17	8441.66 
0224e-0220e	R22	8443.12 
0224f-0220f	P06	8425.58 
0224f-0220f	P09	8422.51 
0224f-0220f	P15	8415.67 
0224f-0220f	P20	8409.25 
0224f-0220f	P24	8403.65 
0224f-0220f	P25	8402.18 
0224f-0220f	P28	8397.63 
0224f-0220f	P42	8373.29 
0224f-0220f	R12	8439.55 
0224f-0220f	R13	8440.03 
0224f-0220f	R21	8442.88 
0224f-0220f	R30	8444.08 
4311e-0110e	P14	8362.64 
4311e-0110e	P15	8361.47 
4311e-0110e	P17	8359.06 
4311e-0110e	P18	8357.82 
4311e-0110e	P22	8352.63 
4311e-0110e	P23	8351.27 
4311e-0110e	P24	8349.89 
4311e-0110e	P27	8345.61 
4311e-0110e	P28	8344.14 
4311e-0110e	P29	8342.64 
4311f-0110f	P18	8358.03 
4311f-0110f	P19	8356.79 
4311f-0110f	P20	8355.54 
4311f-0110f	P22	8352.96 
4311f-0110f	P24	8350.29 
4311f-0110f	P25	8348.92 
4311f-0110f	P26	8347.54 
4311f-0110f	P29	8343.25 
4311f-0110f	P32	8338.77 
5001e-0000e	P02	8363.00 
5001e-0000e	P03	8362.11 
5001e-0000e	P04	8361.20 
5001e-0000e	P05	8360.27 
5001e-0000e	P07	8358.34 
5001e-0000e	P08	8357.34 
5001e-0000e	P09	8356.31 
5001e-0000e	P10	8355.26 
5001e-0000e	P11	8354.18 
5001e-0000e	P12	8353.08 
5001e-0000e	P14	8350.82 
5001e-0000e	P16	8348.45 
5001e-0000e	P19	8344.73 
5001e-0000e	P20	8343.44 
5001e-0000e	P21	8342.13 
5001e-0000e	P22	8340.80 
5001e-0000e	P23	8339.44 
5001e-0000e	P27	8333.78 
5001e-0000e	P29	8330.81 
5001e-0000e	P31	8327.75 
5001e-0000e	P32	8326.18 
5001e-0000e	P33	8324.59 
